Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
19-186.txt,1,164,92.06,74.89,1.91,48.39,16.40,29.88,78.66,47.56,10.37,3.66,0.61,0.00,3.05,0.00,0.00,6.71,12.80,11.59,7.93,3.05,4.27,0.00,13.41,6.71,1.83,3.66,2.44,3.05,6.10,3.66,2.44,0.00,0.00,1.22,6.10,0.00,0.00,0.00,0.00,13.41,3.05,3.66,3.05,3.05,0.00,1.83,1.22,0.61,0.00,0.61,0.00,0.00,0.00,0.00,0.00,4.88,0.61,0.61,2.44,0.00,1.83,0.00,12.20,0.00,6.10,1.83,3.05,1.83,4.88,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.85,4.27,3.05,0.61,0.00,3.05,0.00,0.00,0.00,0.00,4.88,0.00
19-187.txt,1,504,96.55,36.80,12.47,73.89,16.26,22.22,77.58,49.60,8.53,3.17,2.18,0.00,0.79,0.00,0.20,5.36,12.10,15.28,7.34,1.79,3.77,1.39,13.49,5.95,2.38,1.19,2.18,3.77,5.36,3.97,1.39,0.00,0.00,0.79,3.37,0.00,0.00,0.00,0.00,14.48,3.37,3.17,1.98,2.98,0.79,3.97,0.99,0.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,3.17,0.60,0.79,0.99,0.99,0.20,3.17,9.52,0.00,6.55,0.20,5.75,0.60,5.36,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,19.84,4.76,3.17,0.60,0.00,1.39,0.00,6.55,0.40,0.20,2.78,0.00
19-188.txt,1,326,95.25,40.30,7.30,81.16,13.04,34.97,73.93,43.25,4.91,0.92,0.92,0.00,0.00,0.00,0.00,3.99,9.51,13.80,8.90,2.76,2.76,1.53,14.72,6.13,1.53,0.31,3.07,1.84,5.52,4.29,1.23,0.00,0.31,0.31,3.37,0.00,0.61,0.00,0.00,16.26,2.76,5.21,2.15,3.37,1.23,3.37,0.92,0.61,0.31,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.61,1.23,1.23,0.92,1.23,2.76,10.74,0.61,7.36,0.61,6.13,0.61,3.07,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.61,0.00,22.39,7.98,2.45,0.61,0.31,0.31,0.00,3.37,0.61,0.61,0.61,5.52
19-189.txt,1,187,85.05,39.45,6.20,11.81,18.70,32.62,75.94,46.52,8.02,3.74,0.53,0.00,0.00,0.00,3.21,4.28,9.09,12.30,9.63,2.14,7.49,0.53,11.76,6.42,5.35,2.14,2.14,2.14,3.21,1.07,2.14,0.00,0.00,2.14,3.21,0.00,0.00,0.00,0.00,16.58,1.60,4.81,3.74,3.21,0.53,4.81,0.00,0.00,0.00,0.00,1.07,1.07,0.00,0.00,0.00,3.21,0.00,2.14,0.00,0.53,2.14,3.74,6.95,0.00,8.56,0.53,5.88,2.14,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.04,2.67,4.28,0.00,0.00,2.67,0.00,3.21,1.07,0.00,2.14,0.00
19-19.txt,1,893,93.66,41.59,27.82,87.32,27.06,26.65,74.92,46.14,7.61,3.70,2.02,0.56,0.56,0.00,0.56,3.92,9.97,14.67,6.72,4.03,4.70,1.12,12.21,4.70,2.35,0.78,3.47,3.81,5.38,4.48,0.90,0.00,0.11,0.34,3.47,0.11,0.00,0.00,0.00,13.55,3.70,2.13,1.23,3.14,1.46,3.58,1.01,0.67,0.00,0.22,0.22,0.00,0.00,0.00,0.22,6.27,1.12,1.90,1.79,1.79,0.34,2.46,8.62,0.22,9.41,0.78,6.27,2.46,5.15,0.11,0.11,0.34,0.00,0.00,0.90,0.00,0.56,0.45,0.11,0.00,19.93,4.26,3.14,1.34,0.00,0.34,0.11,1.90,0.90,1.12,4.93,1.90
19-190.txt,1,287,98.70,63.63,2.37,89.72,19.13,36.93,79.79,48.78,6.27,2.79,1.39,0.00,0.00,0.00,1.39,3.48,15.68,14.29,6.62,1.39,4.53,0.70,12.20,3.48,0.70,0.00,0.35,1.74,4.53,4.18,0.35,0.00,0.00,0.00,7.67,0.00,0.00,0.00,0.00,12.54,3.14,3.48,2.09,3.48,0.35,2.09,1.05,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,7.67,1.05,4.18,0.70,1.05,0.70,2.44,10.45,0.00,4.53,0.35,3.83,0.70,7.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,4.88,3.14,0.00,0.00,0.35,0.00,2.44,0.00,0.00,0.00,0.00
19-191.txt,1,170,93.79,24.00,35.82,59.17,28.33,35.88,76.47,49.41,7.65,4.12,2.35,0.00,0.00,0.00,1.76,3.53,12.35,14.12,5.29,3.53,7.65,1.76,9.41,5.88,3.53,1.18,0.00,3.53,4.12,2.94,1.18,0.00,0.00,0.59,2.94,0.00,0.00,0.00,0.00,13.53,3.53,1.18,1.76,0.59,1.76,5.88,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.00,0.00,2.94,0.00,1.18,1.18,0.59,1.18,4.71,3.53,0.00,8.82,0.00,7.06,1.76,8.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.18,3.53,3.53,0.00,0.00,0.00,0.00,1.18,0.00,1.18,0.00,1.76
19-192.txt,1,572,97.59,33.73,38.39,82.22,22.88,28.67,72.73,47.03,4.55,0.87,0.35,0.00,0.00,0.00,0.52,3.67,14.34,13.81,5.77,3.15,6.47,1.40,9.09,5.42,2.80,0.52,1.05,3.15,4.20,3.67,0.52,0.00,0.17,0.17,0.87,0.00,0.00,0.00,0.00,10.14,1.92,2.27,0.35,1.40,1.40,3.32,0.52,0.00,0.00,0.52,0.17,0.00,0.00,0.00,0.17,3.50,0.00,1.40,1.40,1.22,0.00,0.70,6.64,0.70,13.99,1.05,7.34,5.24,2.97,0.70,0.00,0.17,0.00,0.00,0.35,0.00,0.35,0.00,0.00,0.00,23.43,7.17,4.90,0.70,0.00,0.00,0.00,2.80,2.45,0.35,2.10,2.97
19-193.txt,1,240,95.84,54.96,12.74,96.76,17.14,34.17,76.67,44.58,4.17,1.67,0.42,0.00,0.00,0.00,1.25,2.50,11.25,13.75,7.08,2.92,6.67,0.83,11.67,6.25,1.25,0.00,1.67,2.50,8.33,6.67,1.67,0.00,0.00,1.25,6.25,0.00,0.00,0.00,0.00,10.42,2.50,2.08,0.42,1.67,0.83,3.75,2.08,1.67,0.00,0.42,0.00,0.00,0.00,0.00,0.00,3.33,0.83,1.25,0.42,0.83,0.42,6.67,3.75,0.00,7.92,0.42,5.42,2.08,6.67,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.42,0.00,9.58,6.25,1.25,1.67,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00
19-194.txt,1,943,91.89,46.61,27.97,85.24,20.06,23.86,73.59,46.55,8.06,3.71,1.27,1.17,0.21,0.00,1.06,4.35,10.60,13.47,6.89,3.50,5.41,1.59,12.51,5.73,2.33,0.74,3.71,1.59,4.03,3.71,0.32,0.00,0.00,0.21,4.56,0.00,0.00,0.00,0.00,14.95,2.97,5.20,0.95,1.06,1.80,3.92,1.80,1.70,0.00,0.11,0.11,0.00,0.00,0.00,0.00,4.35,1.48,1.38,1.38,0.42,0.11,3.61,7.53,0.64,10.29,1.27,5.73,3.29,4.67,0.11,0.00,0.11,0.00,0.00,0.74,0.00,0.21,0.21,0.32,0.00,19.30,5.09,2.12,0.53,0.00,0.00,0.00,4.67,0.42,1.27,2.23,2.97
19-195.txt,1,27,97.84,35.54,4.97,99.00,13.50,37.04,77.78,40.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,18.52,3.70,3.70,7.41,3.70,3.70,3.70,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,14.81,0.00,0.00,0.00,7.41,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,3.70,3.70,0.00,7.41,0.00,0.00,3.70,0.00,3.70,0.00,0.00,3.70,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,7.41,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19-196.txt,1,641,86.82,45.65,9.43,77.46,20.03,22.93,83.93,55.54,11.70,3.28,0.31,0.16,0.00,0.00,2.81,8.42,11.39,15.13,9.52,3.12,5.62,1.87,16.07,5.62,2.18,1.25,1.40,1.72,5.62,4.21,1.40,0.16,0.00,1.09,5.30,0.00,0.00,0.00,0.00,15.76,3.90,1.87,1.72,4.99,1.25,4.37,1.87,0.47,0.16,1.25,0.16,0.16,0.00,0.00,0.00,4.99,0.47,2.18,1.09,1.40,0.31,4.84,8.42,0.62,6.24,0.47,4.06,1.72,5.93,0.00,0.00,0.47,0.00,0.00,0.31,0.00,0.00,0.00,0.31,0.00,8.89,4.99,2.96,0.47,0.00,0.00,0.00,0.31,0.00,0.16,0.00,0.00
19-197.txt,1,540,88.33,64.46,16.62,74.11,22.50,26.48,80.74,50.93,9.26,3.89,0.37,2.22,0.00,0.00,1.30,5.37,11.30,13.52,8.52,4.44,5.56,1.30,14.26,5.56,2.22,1.48,0.74,2.22,6.30,4.44,1.85,0.00,0.19,1.30,6.48,0.00,0.00,0.00,0.00,16.11,5.19,3.70,1.30,2.41,1.48,3.33,1.48,0.56,0.19,0.74,0.37,0.00,0.19,0.00,0.19,5.37,2.59,0.93,1.11,1.11,0.19,2.78,8.89,0.37,7.59,0.74,5.19,1.85,5.19,0.19,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.56,0.00,15.74,4.26,3.70,0.56,0.00,0.00,0.00,1.85,0.74,0.19,3.15,1.30
